lat,lon,predicted_quality,avg_d_mbps,avg_u_mbps,avg_lat_ms
51.52412496482755,5.47943115234375,16.010558333333314,25.488,1.778,58
-7.75181586381102,110.6900024414065,8.244629666666693,9.007,13.27,42
43.19916948188685,5.60028076171875,5.047592666666661,7.8,0.991,41
45.558294846516795,-75.68206787109375,46.59424033333326,60.253,8.215,19
46.32227482415965,17.78961181640625,54.701453000000186,83.819,22.131,25
45.09485255499926,14.12017822265625,27.395673999999985,39.167,12.758,25
18.430107681824754,-66.43707275390625,49.18441733333341,66.028,35.129,19
56.841461384579645,42.59674072265626,3.862965666666652,6.225,0.434,49
13.9473955806553,100.52764892578098,19.503374333333415,23.863,21.0,20
46.401882135387,13.598327636718752,52.395126000000225,83.534,10.946,17
51.752539777331,-1.59027099609375,16.09562066666665,22.031,7.046,28
38.19718006196975,-85.67413330078125,13.248890333333321,18.012,5.569,62
45.608273476492855,-122.40692138671902,73.39010433333333,81.669,43.332,22
45.88809636734219,0.90362548828125,16.984142666666656,23.476,5.609,24
-29.4802521651417,30.220642089843746,16.979615000000038,23.494,9.627,42
24.474650224187805,39.58648681640625,48.32033366666645,70.28,22.106,40
13.39763521547935,103.81256103515649,10.053629666666682,14.2,6.425,57
39.2088470254569,45.40924072265625,16.91788366666668,26.011,4.886,24
10.684899561038153,122.64862060546902,4.542093333333314,1.032,14.532,36
43.598294969750896,-116.6006469726565,5.05435633333333,6.736,6.358,35
-9.397580965540556,-38.24615478515625,46.56819233333317,63.604,27.68,107
40.741014236658906,14.510192871093748,9.80683733333329,14.197,5.06,49
42.8739512634155,74.62188720703126,17.7356996666667,21.211,15.998,17
18.50826118606595,79.42291259765626,22.578534333333405,31.461,13.39,29
37.38543515086745,-5.946350097656249,40.982554333333276,55.712,25.784,30
20.994778495798954,105.96588134765649,23.40500599999999,30.128,21.106,20
20.197768321484098,106.28997802734351,28.201214333333283,37.663,22.51,18
20.5325052260668,-100.43975830078101,26.3021093333334,39.411,7.692,46
3.5984011530693403,98.68194580078125,17.710029666666657,24.04,10.894,40
45.70042482768561,19.695739746093754,25.862001999999915,37.288,10.332,25
16.7545779082192,74.28131103515625,9.611586333333317,11.474,9.899,40
40.6868863496078,30.209655761718746,11.601022999999998,16.048,11.909,59
29.284003307961598,103.488464355469,23.57142433333337,31.208,13.423,27
13.35488206035005,101.1538696289065,4.863566333333317,4.794,8.305,25
47.4299453001788,-122.297058105469,50.10174733333317,80.488,10.906,42
28.582109856699855,-80.73577880859375,4.664897666666678,7.456,2.411,39
46.587181494463906,13.829040527343748,27.573060000000005,41.633,10.824,41
43.1951649517137,27.919006347656246,101.65099433333332,201.055,46.034,28
20.94348479524755,77.76947021484375,8.159886666666678,10.193,6.263,64
54.7166885379103,55.93963623046874,39.04679499999982,50.538,24.717,46
19.629653229598198,103.559875488281,21.55170366666669,30.563,10.493,34
16.16455895264885,75.36895751953125,11.25744866666666,15.171,4.711,51
40.89067711806865,-111.8710327148435,28.89127833333334,45.126,9.27,21
45.15686393598529,17.27325439453125,9.344754333333325,12.232,11.697,15
12.144060696208602,78.16497802734376,4.692302666666678,7.544,2.433,52
27.559416851863396,109.98138427734351,26.90827499999998,39.11,12.382,28
44.09744820737645,12.356872558593748,25.928421666666736,38.809,8.867,35
-23.188337876088248,-47.27142333984375,9.113998333333328,11.907,6.806,29
-22.530316753110853,-42.98126220703125,18.265660333333418,25.465,11.477,28
25.8270888521428,-97.43499755859376,16.253987333333317,19.237,19.789,38
21.03067360655505,105.669250488281,28.171670999999993,41.782,21.227,19
11.687203917226952,104.131164550781,4.331210666666651,2.71,8.506,30
28.6689010464337,116.10076904296902,28.295565333333386,40.14,18.368,32
